Quantile:  tensor(7232.0493)
   Occurs     Accum   Support    Confid      Lift                                                                         Sequence
     1963      7506 0.9419386       N/A       N/A                                                                              (2) 
     1791      3215 0.8594050 0.9123790 0.9686184                                                                         (2)->(2) 
     1424      1424 0.6833013 0.7950865 0.8440960                                                                    (2)->(2)->(2) 
     1262      1262 0.6055662 0.6428935 0.9170364                                                                         (2)->(3) 
     1049      1049 0.5033589 0.8312203 0.8824570                                                                    (2)->(3)->(2) 
     1461      3864 0.7010557       N/A       N/A                                                                              (3) 
     1279      2328 0.6137236 0.8754278 0.9293895                                                                         (3)->(2) 
     1141      1141 0.5475048 0.7809719 1.1139942                                                                         (3)->(3) 
