Quantile:  tensor(6927.3604)
   Occurs     Accum   Support    Confid      Lift                                                                         Sequence
     1688      7041 0.7397020       N/A       N/A                                                                              (2) 
     1544      2854 0.6765995 0.9146919 1.2365681                                                                         (2)->(2) 
     1310      1310 0.5740578 0.8484456 1.1470100                                                                    (2)->(2)->(2) 
     1303      1303 0.5709904 0.7719194 1.2440114                                                                         (2)->(3) 
     1181      1181 0.5175285 0.9063699 1.2253176                                                                    (2)->(3)->(2) 
     1416      4005 0.6205083       N/A       N/A                                                                              (3) 
     1318      2499 0.5775635 0.9307910 1.2583323                                                                         (3)->(2) 
     1286      1286 0.5635408 0.9081921 1.4636260                                                                         (3)->(3) 
